"Threshold","MaxCluster","Singletons"
1e-04,59,1047
2e-04,110,924
3e-04,127,857
4e-04,133,821
5e-04,138,787
6e-04,152,746
7e-04,166,707
8e-04,178,663
9e-04,197,604
0.001,213,562
0.0011,224,524
0.0012,239,478
0.0013,251,441
0.0014,259,414
0.0015,268,387
0.0016,273,356
0.0017,280,321
0.0018,282,298
0.0019,281,286
0.002,281,267
0.0021,282,253
0.0022,282,237
0.0023,277,231
0.0024,276,221
0.0025,276,209
0.0026,276,203
0.0027,276,191
0.0028,273,185
0.0029,270,180
0.003,260,176
0.0031,257,168
0.0032,256,162
0.0033,253,159
0.0034,250,155
0.0035,247,152
0.0036,245,147
0.0037,244,147
0.0038,241,144
0.0039,237,140
0.004,235,138
0.0041,233,137
0.0042,232,133
0.0043,231,129
0.0044,228,126
0.0045,227,121
0.0046,223,121
0.0047,222,120
0.0048,220,118
0.0049,220,115
0.005,219,112
0.0051,216,110
0.0052,215,107
0.0053,211,106
0.0054,209,103
0.0055,208,99
0.0056,207,98
0.0057,204,95
0.0058,203,94
0.0059,201,91
0.006,201,88
0.0061,198,88
0.0062,198,87
0.0063,196,86
0.0064,197,84
0.0065,195,84
0.0066,195,83
0.0067,193,83
0.0068,191,82
0.0069,190,80
0.007,190,80
0.0071,190,78
0.0072,189,78
0.0073,186,77
0.0074,185,76
0.0075,185,76
0.0076,183,75
0.0077,183,74
0.0078,182,73
0.0079,180,72
0.008,179,71
0.0081,178,70
0.0082,178,70
0.0083,177,69
0.0084,175,68
0.0085,175,68
0.0086,172,68
0.0087,172,68
0.0088,171,67
0.0089,169,65
0.009,169,64
0.0091,167,64
0.0092,166,61
0.0093,165,61
0.0094,164,61
0.0095,162,60
0.0096,162,59
0.0097,160,59
0.0098,158,59
0.0099,158,59
0.01,157,58
0.0101,156,57
0.0102,154,56
0.0103,154,55
0.0104,154,55
0.0105,154,55
0.0106,153,54
0.0107,151,54
0.0108,151,54
0.0109,149,54
0.011,149,54
0.0111,148,54
0.0112,147,51
0.0113,147,50
0.0114,147,49
0.0115,144,49
0.0116,143,49
0.0117,142,49
0.0118,142,48
0.0119,142,48
0.012,140,48
0.0121,138,48
0.0122,138,48
0.0123,138,48
0.0124,138,47
0.0125,138,46
0.0126,138,46
0.0127,138,45
0.0128,138,45
0.0129,138,45
0.013,136,45
0.0131,136,43
0.0132,136,43
0.0133,135,43
0.0134,134,42
0.0135,133,42
0.0136,133,42
0.0137,133,42
0.0138,132,42
0.0139,129,42
0.014,129,41
0.0141,128,41
0.0142,128,41
0.0143,127,41
0.0144,127,40
0.0145,127,40
0.0146,125,40
0.0147,124,39
0.0148,124,39
0.0149,124,38
0.015,124,38
0.0151,122,38
0.0152,122,38
0.0153,122,38
0.0154,121,38
0.0155,121,37
0.0156,121,37
0.0157,121,37
0.0158,121,37
0.0159,121,37
0.016,121,37
0.0161,121,37
0.0162,121,37
0.0163,121,36
0.0164,121,36
0.0165,121,36
0.0166,121,36
0.0167,121,36
0.0168,120,36
0.0169,119,36
0.017,119,34
0.0171,119,34
0.0172,119,34
0.0173,118,34
0.0174,117,33
0.0175,117,33
0.0176,116,33
0.0177,115,33
0.0178,115,33
0.0179,113,33
0.018,112,33
0.0181,112,33
0.0182,112,32
0.0183,111,31
0.0184,110,30
0.0185,110,29
0.0186,110,29
0.0187,109,29
0.0188,108,29
0.0189,108,29
0.019,108,29
0.0191,108,29
0.0192,108,29
0.0193,106,29
0.0194,106,29
0.0195,106,29
0.0196,106,29
0.0197,106,29
0.0198,106,29
0.0199,106,29
0.02,106,28
0.0201,106,28
0.0202,106,28
0.0203,106,28
0.0204,105,28
0.0205,105,28
0.0206,105,28
0.0207,104,28
0.0208,104,28
0.0209,103,28
0.021,103,27
0.0211,103,26
0.0212,102,26
0.0213,102,26
0.0214,102,26
0.0215,102,26
0.0216,102,26
0.0217,102,26
0.0218,102,26
0.0219,102,26
0.022,102,26
0.0221,102,26
0.0222,102,26
0.0223,100,26
0.0224,100,26
0.0225,99,26
0.0226,99,26
0.0227,98,26
0.0228,98,26
0.0229,98,26
0.023,98,26
0.0231,98,26
0.0232,97,26
0.0233,97,26
0.0234,97,26
0.0235,97,26
0.0236,96,26
0.0237,96,26
0.0238,96,26
0.0239,95,25
0.024,95,25
0.0241,95,25
0.0242,95,25
0.0243,95,25
0.0244,95,25
0.0245,95,25
0.0246,95,25
0.0247,95,25
0.0248,95,25
0.0249,94,25
0.025,93,25
0.0251,93,25
0.0252,93,25
0.0253,93,25
0.0254,92,25
0.0255,92,25
0.0256,92,25
0.0257,92,25
0.0258,91,25
0.0259,91,25
0.026,91,25
0.0261,90,25
0.0262,90,25
0.0263,90,25
0.0264,90,25
0.0265,90,25
0.0266,90,25
0.0267,90,25
0.0268,90,25
0.0269,90,25
0.027,90,25
0.0271,89,25
0.0272,88,25
0.0273,88,25
0.0274,87,25
0.0275,87,25
0.0276,86,25
0.0277,86,25
0.0278,85,25
0.0279,85,25
0.028,85,25
0.0281,85,25
0.0282,84,25
0.0283,84,25
0.0284,84,25
0.0285,84,25
0.0286,84,25
0.0287,84,25
0.0288,84,25
0.0289,84,25
0.029,84,25
0.0291,83,25
0.0292,83,25
0.0293,83,25
0.0294,82,25
0.0295,82,25
0.0296,82,25
0.0297,82,25
0.0298,82,25
0.0299,82,25
0.03,82,25
0.0301,82,25
0.0302,82,25
0.0303,81,25
0.0304,81,25
0.0305,80,25
0.0306,80,25
0.0307,80,25
0.0308,80,25
0.0309,78,25
0.031,78,24
0.0311,77,23
0.0312,75,23
0.0313,75,23
0.0314,75,23
0.0315,75,23
0.0316,75,23
0.0317,75,23
0.0318,74,23
0.0319,74,23
0.032,74,23
0.0321,74,23
0.0322,74,23
0.0323,74,23
0.0324,73,23
0.0325,73,23
0.0326,73,23
0.0327,73,22
0.0328,73,22
0.0329,73,21
0.033,73,21
0.0331,73,21
0.0332,73,21
0.0333,72,21
0.0334,72,21
0.0335,72,21
0.0336,72,21
0.0337,72,21
0.0338,71,21
0.0339,71,21
0.034,70,21
0.0341,70,21
0.0342,69,21
0.0343,69,21
0.0344,69,21
0.0345,69,21
0.0346,69,21
0.0347,69,21
0.0348,69,21
0.0349,69,21
0.035,69,21
0.0351,69,21
0.0352,69,21
0.0353,69,21
0.0354,68,21
0.0355,68,21
0.0356,68,21
0.0357,68,21
0.0358,67,21
0.0359,67,21
0.036,67,21
0.0361,67,21
0.0362,67,21
0.0363,66,21
