Sample,PhyloPos
8FD,1
SRR13587780,2
SRR6669898,3
SRR848046,4
SRR6669985,5
SRR6669919,6
SRR13587795,7
SRR13587541,8
SRR13587850,9
SRR13587867,10
SRR13587824,11
SRR6669949,12
SRR25726592,13
SRR6669959,14
SRR6669944,15
SRR13587713,16
SRR19696118,17
SRR13587573,18
SRR13587655,19
SRR13587877,20
ERR2708450,21
SRR6669925,22
SRR6669894,23
SRR13587639,24
SRR6669954,25
SRR19696105,26
SRR6669955,27
HSC007,28
SRR6669971,29
SRR13587739,30
SRR13587666,31
SRR13587840,32
SRR13587855,33
SRR13587549,34
SRR13587757,35
SRR13587531,36
SRR13587798,37
SRR13587872,38
SRR13587625,39
SRR13587583,40
SRR13587710,41
SRR13587709,42
ERR4669766,43
SRR13587530,44
SRR538771,45
SRR13587841,46
HSC174,47
SRR13587559,48
SRR13587527,49
SRR13587698,50
SRR13741117,51
SRR13741116,52
SRR16974326,53
HSC138,54
SRR13587810,55
HSC097,56
SRR19696255,57
ERR4669769,58
SRR13587592,59
SRR13587742,60
SRR13587613,61
SRR13587720,62
SRR13587566,63
SRR13587568,64
SRR13587778,65
SRR13587633,66
SRR13587537,67
SRR13587669,68
SRR13587667,69
SRR13587569,70
SRR13587648,71
SRR13587539,72
SRR13587849,73
SRR13587532,74
SRR13587800,75
SRR13587799,76
SRR13587733,77
SRR13587664,78
SRR13587819,79
SRR13587741,80
SRR13587594,81
SRR13587641,82
SRR13587865,83
SRR13587772,84
SRR13587647,85
SRR13587646,86
SRR13587563,87
SRR19696167,88
SRR13587651,89
SRR13587543,90
SRR13587723,91
SRR13587529,92
SRR19696222,93
SRR13587861,94
SRR19696233,95
SRR13587727,96
SRR13587640,97
SRR13587714,98
SRR13587725,99
SRR13587610,100
SRR13587712,101
SRR13587601,102
SRR19696244,103
SRR6669989,104
HSC077,105
HSC099,106
HSC185,107
SRR13587715,108
SRR13587711,109
SRR13587534,110
SRR646260,111
SRR13587832,112
SRR13587833,113
HSC156,114
HSC149,115
SRR13587846,116
SRR13587657,117
SRR13587880,118
SRR13587753,119
SRR13587837,120
SRR13587768,121
SRR13587838,122
SRR13587538,123
SRR13587765,124
SRR13587660,125
SRR13587822,126
SRR13587580,127
SRR13587689,128
SRR6669935,129
SRR13587628,130
SRR13587622,131
SRR543723,132
SRR6669908,133
HSC057,134
HSC201,135
HSC054,136
ERR4669773,137
SRR13587806,138
SRR13587535,139
