Sample	K13	K16	K20	Proposed_final_clade	Isolate_Name
SRR23500663	2	4	3	1	FT254
SRR1554304	2	4	3	1	3281
SRR12969470	1	1	1	1	ATCC 28121
SRR13587844	2	1	1	1	SD60
SRR13587540	1	1	1	1	JD05
SRR13587701	11	11	4	1	W363
SRR23500754	10	10	1	1	FT172
SRR12969473	11	12	10	1	ATCC 18804
SRR23500697	2	2	3	1	FT137
SRR10209619	1	1	1	1	FLON17
SRR23500779	3	4	4	1	FT013
SRR13587752	1	3	3	1	GX11
SRR23500590	7	12	9	1	FT063
SRR23500677	7	10	8	1	FT155
SRR23500780	9	13	8	1	FT120
SRR13587743	4	4	4	1	GZ433
SRR25130063	1	3	3	1	TVY10-V10
SRR19696098	1	3	3	1	A_18_13
ERR10430872	1	3	2	1	T2352_p
ERR10430873	1	3	2	1	T2353_p
ERR10430875	1	3	2	1	T2355_p
ERR4669749	1	3	2	1	2018-F1-54
ERR4669760	1	3	2	1	2018-F1-192
ERR4669764	1	3	2	1	2018-F2-256
ERR4669775	1	3	2	1	2018-F4-37
ERR4669776	1	3	3	1	2018-F4-38
HSC030	1	3	3	1	HSC030
HSC034	1	3	3	1	HSC034
HSC042	1	1	2	1	HSC042
HSC043	1	3	3	1	HSC043
HSC044	1	3	2	1	HSC044
HSC046	1	3	3	1	HSC046
HSC047	1	3	3	1	HSC047
HSC048	1	3	3	1	HSC048
HSC051	1	3	3	1	HSC051
HSC063	1	3	3	1	HSC063
HSC078	1	1	2	1	HSC078
HSC081	1	3	2	1	HSC081
HSC090	1	2	2	1	HSC090
HSC112	1	3	3	1	HSC112
HSC123	1	3	2	1	HSC123
HSC125	1	3	3	1	HSC125
HSC126	1	1	2	1	HSC126
HSC127	1	2	2	1	HSC127
HSC129	1	3	3	1	HSC129
HSC134	1	3	3	1	HSC134
HSC167	1	1	2	1	HSC167
HSC169	1	3	3	1	HSC169
HSC173	1	3	3	1	HSC173
HSC199	1	1	2	1	HSC199
HSC204	1	3	3	1	HSC204
HSC206	1	3	3	1	HSC206
HSC210	1	3	2	1	HSC210
SRR12969465	1	3	2	1	ATCC 38289
SRR12969478	1	3	2	1	ATCC 64124
SRR13587521	1	1	2	1	A175
SRR13587542	1	3	2	1	J205
SRR13587551	1	1	2	1	GZ341
SRR13587555	1	1	2	1	XJ113
SRR13587564	1	1	2	1	NJ47
SRR13587587	1	1	2	1	JD64
SRR13587603	1	1	2	1	XN77
SRR13587609	1	1	2	1	WZ120
SRR13587615	1	1	2	1	TJ554
SRR13587618	1	1	2	1	TJ503
SRR13587621	1	1	2	1	TJ469
SRR13587623	1	1	2	1	Z390
SRR13587630	1	1	2	1	SD191
SRR13587631	1	1	2	1	SD181
SRR13587632	1	1	2	1	SD180
SRR13587635	1	1	2	1	SY12
SRR13587661	1	1	2	1	JX76
SRR13587668	1	1	2	1	GZ113
SRR13587672	1	1	2	1	Z421
SRR13587677	1	1	2	1	Z41
SRR13587679	1	1	2	1	Z2017
SRR13587691	1	1	2	1	XN24
SRR13587703	1	3	2	1	W3039
SRR13587704	1	1	2	1	W334
SRR13587707	1	3	2	1	X160
SRR13587728	1	1	2	1	GZ299
SRR13587756	1	1	2	1	NJ46
SRR13587758	1	1	2	1	GH265
SRR13587763	1	1	2	1	FS80
SRR13587775	1	2	2	1	CQ42
SRR13587776	1	3	2	1	QD02
SRR13587786	1	3	2	1	QD17
SRR13587787	1	3	2	1	QD015
SRR13587788	1	3	2	1	QD013
SRR13587789	1	3	2	1	QD11
SRR13587791	1	1	2	1	NM02
SRR13587793	1	1	2	1	JS203
SRR13587794	1	1	2	1	JS176
SRR13587797	1	1	2	1	JS168
SRR13587807	1	1	2	1	G102
SRR13587811	1	1	2	1	HX646
SRR13587812	1	1	2	1	HX645
SRR13587817	1	1	2	1	HS84
SRR13587828	1	1	2	1	HX738
SRR13587839	1	3	3	1	GZ462
SRR13587848	1	1	2	1	GH344
SRR13587870	1	2	2	1	H4208
SRR13587873	1	1	2	1	H4186
SRR13587878	1	3	3	1	GZ243
SRR13587889	1	1	2	1	GZ239
SRR13741095	1	3	3	1	IDD582
SRR13741096	1	3	3	1	IDD581
SRR13741097	1	1	2	1	IDD311
SRR13741099	1	3	2	1	IDC711
SRR13741101	1	1	2	1	IDC571
SRR13741102	1	3	3	1	IDC563
SRR13741103	1	3	3	1	IDC562
SRR13741108	1	1	2	1	IDC361
SRR13741118	1	3	2	1	IDB104
SRR13741122	1	3	2	1	IDB101
SRR13741124	1	2	2	1	IDB072
SRR13741125	1	2	2	1	IDB071
SRR13741128	1	1	2	1	IDD761
SRR1544598	1	3	2	1	3731
SRR1544621	1	2	2	1	3795
SRR1544628	1	1	2	1	3917
SRR1548194	1	3	2	1	TWTC1
SRR19696100	1	2	2	1	A_20_6
SRR19696137	1	3	3	1	A_18_2
SRR21359688	1	1	2	1	813-25
SRR21359695	1	2	2	1	882-52
SRR21359696	1	1	2	1	838-2
SRR21359704	1	1	2	1	831-2
SRR21359708	1	3	3	1	872-27
SRR21359710	1	2	2	1	851-2
SRR21359718	1	2	2	1	811-1
SRR21359728	1	1	2	1	833-4
SRR21359729	1	2	2	1	811-62
SRR21359731	1	3	2	1	814-42
SRR22908972	1	3	3	1	BL152
SRR22908973	1	1	2	1	ATCC 36802
SRR22908977	1	3	3	1	BL273
SRR22908978	1	3	3	1	BL288
SRR22908979	1	1	2	1	JMN70
SRR22908980	1	3	2	1	HM1
SRR22908981	1	3	3	1	BL300
SRR23500527	1	1	2	1	FT091
SRR23500531	1	3	2	1	FT088
SRR23500536	1	3	2	1	FT083
SRR23500540	1	3	3	1	FT080
SRR23500542	1	1	2	1	FT078
SRR23500548	1	3	3	1	FT242
SRR23500549	1	3	2	1	FT241
SRR23500552	1	1	2	1	FT239
SRR23500556	1	1	2	1	FT235
SRR23500558	1	3	2	1	FT233
SRR23500561	1	3	3	1	FT024
SRR23500566	1	1	2	1	FT226
SRR23500569	1	1	2	1	FT223
SRR23500577	1	1	2	1	FT216
SRR23500581	1	1	2	1	FT071
SRR23500592	1	3	2	1	FT061
SRR23500599	1	1	2	1	FT055
SRR23500601	1	3	2	1	FT053
SRR23500602	1	3	3	1	FT052
SRR23500604	1	1	2	1	FT006
SRR23500606	1	3	3	1	FT049
SRR23500611	1	1	2	1	FT044
SRR23500613	1	3	3	1	FT212
SRR23500614	1	1	2	1	FT211
SRR23500616	1	3	3	1	FT210
SRR23500629	1	3	3	1	FT199
SRR23500633	1	2	3	1	FT195
SRR23500642	1	1	2	1	FT187
SRR23500660	1	1	2	1	FT257
SRR23500668	1	3	3	1	FT250
SRR23500669	1	1	2	1	FT249
SRR23500674	1	2	3	1	FT244
SRR23500680	1	1	2	1	FT152
SRR23500692	1	1	2	1	FT141
SRR23500693	1	3	3	1	FT015
SRR23500702	1	1	2	1	FT132
SRR23500704	1	1	2	1	FT014
SRR23500709	1	1	2	1	FT042
SRR23500714	1	1	2	1	FT038
SRR23500715	1	3	3	1	FT037
SRR23500730	1	1	2	1	FT029
SRR23500740	1	3	3	1	FT185
SRR23500749	1	1	2	1	FT177
SRR23500753	1	3	3	1	FT173
SRR23500759	1	1	2	1	FT168
SRR23500777	1	2	2	1	FT122
SRR23500781	1	1	2	1	FT119
SRR23500784	1	3	3	1	FT116
SRR23500790	1	3	3	1	FT012
SRR23500796	1	3	2	1	FT105
SRR23500797	1	3	2	1	FT104
SRR23500798	1	1	2	1	FT103
SRR23500803	1	1	2	1	FT001
SRR23921795	1	2	2	1	2023CE-00205-001
SRR25130075	1	1	2	1	YST7-V2
SRR25130085	1	3	3	1	TVY4-V2
SRR25169055	1	1	2	1	AR-0761
SRR25361690	1	3	2	1	JRCT1
SRR3593469	1	3	2	1	CaCi-17
SRR392813	1	2	3	1	12C
SRR393516	1	3	2	1	P37037
SRR393528	1	3	3	1	P78048
SRR397731	1	1	2	1	19F
SRR538773	1	2	2	1	A92
SRR538774	1	3	2	1	3153A
SRR538779	1	3	3	1	A48
SRR538785	1	2	2	1	A84
SRR538786	1	3	3	1	A203
SRR540285	1	2	3	1	P37005
SRR543720	1	1	2	1	L26
SRR640897	1	1	2	1	A20
SRR6669851	1	3	3	1	B1_X
