	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	total #
1	5	164	79	4	0	0	0	2	1	1	0	0	0	0	0	0	0	0	256
2	51	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	56
3	60	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	63
4	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
8	47	0	0	0	0	0	0	0	2	2	8	6	1	1	0	0	0	0	67
9	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
10	0	0	0	0	0	0	0	1	0	2	0	0	2	2	0	0	0	0	7
11	22	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	31
12	19	0	0	0	6	1	0	0	0	0	0	4	0	0	0	1	1	0	32
16	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	5
18	51	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	54
19	23	0	0	0	0	0	1	1	2	0	0	0	2	1	0	1	0	0	31
20	65	6	0	0	0	0	0	0	2	0	1	3	3	5	6	5	3	0	99
21	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	11
22	10	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	14
23	12	0	0	0	0	0	0	0	5	1	1	0	0	0	0	1	0	0	20
24	0	6	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	10
25	27	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	30
26	0	0	0	0	0	0	0	0	0	1	0	0	2	4	1	2	0	0	10
27	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2
