Accession,Bioproject,Last_author,Sequencing_technology,Isolate_Name,Country,Continent,Isolation_source,Ropars_Clade,Proposed_final_clade,Mean_coverage,Mean_depth,Aneuploidy,HOM_pos,HOM_ref,HOM_alt,HET_pos,Missing_pos,frac_missing,frac_HET,PASS_Het,For_Sub_Phylo,Intrapop_ID,Intrapop_removed,MAT_type
2FD,NA,This  study,NA,2FD,USA,North America,Environmental,,20,99.7661375,154.143,0,14103254,14045696,57558,110292,70350,0.004925127,0.00772142,1,0,,0,a/α
4FD,NA,This  study,NA,4FD,USA,North America,Environmental,,20,99.751525,107.033125,0,14072294,14010717,61577,99772,111830,0.007829096,0.00698493,1,0,,0,a/α
5FD,NA,This  study,NA,5FD,USA,North America,Environmental,,9,99.5957875,32.5452875,0,5950209,5926981,23228,46646,8287041,0.580166714,,0,0,,0,a/α
6FD,NA,This  study,NA,6FD,USA,North America,Environmental,,9,99.7085125,102.487038,0,14050332,13992498,57834,113052,120512,0.008436914,0.00791465,1,0,,0,a/α
7FD,NA,This  study,NA,7FD,USA,North America,Environmental,,23,99.714475,169.16925,0,14096205,14040983,55222,110611,77080,0.005396287,0.00774376,1,0,,0,a/α
8FD,NA,This  study,NA,8FD,USA,North America,Environmental,,S,99.3148875,145.3695,0,14037568,13954068,83500,93482,152846,0.010700582,0.00654457,1,0,,0,a/α
9FD,NA,This  study,NA,9FD,USA,North America,Environmental,,23,99.7028875,112.589625,0,14064899,14010380,54519,111048,107949,0.007557392,0.00777435,1,0,,0,a/α
ERR10430872,PRJEB57089,NA,BGISEQ-500,T2352_p,China,Asia,,,1,97.7672875,85.273225,0,9379384,9378713,671,50892,4853620,0.339796649,,0,0,,0,a/α
ERR10430873,PRJEB57089,NA,BGISEQ-500,T2353_p,China,Asia,,,1,99.9585,297.124375,0,14145654,14144535,1119,84286,53956,0.003777401,0.00590077,1,0,,0,a/α
ERR10430875,PRJEB57089,NA,BGISEQ-500,T2355_p,China,Asia,,,1,99.9634875,396.403125,0,14181070,14179997,1073,81973,20853,0.001459896,0.00573884,1,0,,0,a/α
ERR263534,PRJEB1831,Cavalieri et al. 2017,Illumina HiSeq 2000,YL1,Italy,Europe,Gastrointestinal,,23,99.6935875,45.9076875,0,10981351,10941843,39508,80230,3222315,0.225590763,,0,0,,0,a/α
ERR263538,PRJEB1831,Cavalieri et al. 2017,Illumina HiSeq 2000,YQ2,Italy,Europe,Gastrointestinal,,4,99.631075,39.6137875,0,8971105,8934160,36945,49981,5262810,0.368443596,,0,0,,0,a/α
ERR2708444,PRJEB27862,Bensasson et al. 2019,Illumina HiSeq 2500,NCYC 4144,UK,Europe,Environmental,,18,98.5980625,52.2956375,0,11203877,11157916,45961,75882,3004137,0.210316359,,0,0,,0,a/a
ERR2708450,PRJEB27862,Bensasson et al. 2019,Illumina HiSeq 2500,NCYC 4145,UK,Europe,Environmental,,19,99.3795,69.896525,0,12672376,12623478,48898,112524,1498996,0.104943077,0.00787768,1,0,,0,a/α
ERR2708456,PRJEB27862,Bensasson et al. 2019,Illumina HiSeq 2500,NCYC 4146,UK,Europe,Environmental,,4,99.7718625,1178.33875,0,14073539,14016737,56802,92064,118293,0.008281564,0.0064453,1,0,,0,a/α
ERR4669749,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-54,Denmark,Europe,,,1,99.8908875,65.8267,0,13016574,13002258,14316,74824,1192498,0.083485486,0.00523835,1,0,,0,a/α
ERR4669750,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-55,Denmark,Europe,,,20,99.43165,57.1186,0,12581666,12517923,63743,60778,1641452,0.114916267,0.004255,1,0,,0,a/α
ERR4669751,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-59,Denmark,Europe,Vagina,,2,99.2815375,92.4395125,0,13683901,13608001,75900,61802,538193,0.037678306,0.00432669,1,0,,0,a/α
ERR4669752,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-60,Denmark,Europe,Vagina,,4,99.7069875,151.885125,0,14048574,13982481,66093,86895,148427,0.010391213,0.00608342,1,0,,0,a/α
ERR4669753,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-61,Denmark,Europe,Vagina,,4,99.6032125,101.839325,0,13875022,13812190,62832,91353,317521,0.022229299,0.00639552,1,0,,0,a/α
ERR4669754,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-62,Denmark,Europe,Vagina,,3,99.6273875,33.9882375,0,7783137,7751452,31685,49635,6451124,0.451636164,,0,0,,0,a/α
ERR4669755,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-187,Denmark,Europe,Skin,,4,99.5340875,32.7769,0,7790777,7762541,28236,48859,6444260,0.451155623,,0,0,,0,a/α
ERR4669758,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-189,Denmark,Europe,Vagina,,4,99.6095,48.6745,0,11655983,11607614,48369,73005,2554908,0.178866326,,0,0,,0,a/α
ERR4669759,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-190,Denmark,Europe,Vagina,,13,98.9436375,89.55215,0,13349491,13244050,105441,40253,894152,0.062598608,0.00281807,1,0,,0,a/α
ERR4669760,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-192,Denmark,Europe,Vagina,,1,99.89735,88.4686375,0,13214284,13199592,14692,76282,993330,0.069541951,0.00534042,1,0,,0,a/α
ERR4669762,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F1-251,Denmark,Europe,,,4,99.575175,72.805,0,13176390,13109583,66807,69611,1037895,0.072661898,0.00487339,1,0,,0,a/α
ERR4669764,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F2-256,Denmark,Europe,Urogenital,,1,99.8113,34.52385,0,8458087,8452624,5463,42516,5783293,0.404882043,,0,0,,0,a/α
ERR4669765,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F2-279,Denmark,Europe,Urogenital,,4,99.6627625,94.05925,chr7,13409697,13342436,67261,73734,800465,0.056039683,0.00516204,1,0,,0,a/α
ERR4669766,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-6,Denmark,Europe,Vagina,,19,99.5178,112.28525,0,13844136,13787802,56334,114108,325652,0.022798542,0.00798858,1,0,,0,a/α
ERR4669767,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-29,Denmark,Europe,Oral,,20,99.6204,167.26275,0,14048493,13979546,68947,83480,151923,0.010635964,0.00584434,1,0,,0,a/α
ERR4669768,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-30,Denmark,Europe,Vagina,,2,99.2653875,78.7298375,0,13420310,13351172,69138,67932,795654,0.05570287,0.00475585,1,0,,0,a/α
ERR4669769,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-31,Denmark,Europe,Oral,,25,99.4640875,114.426125,0,13805292,13745997,59295,100977,377627,0.026437255,0.00706929,1,0,,0,a/α
ERR4669770,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-32,Denmark,Europe,Oral,,2,99.3994875,55.824925,0,12795290,12738152,57138,76195,1412411,0.098881356,0.00533433,1,0,,0,a/α
ERR4669771,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-33,Denmark,Europe,Oral,,2,99.3981375,47.6407125,0,11773513,11718025,55488,59271,2451112,0.171599681,,0,0,,0,a/α
ERR4669773,PRJEB40738,Szarvas et al. 2021,NextSeq 500,2018-F4-35,Denmark,Europe,Oral,,20,99.74825,93.911425,0,13822446,13765459,56987,107767,353683,0.024760962,0.00754465,1,0,,0,a/α
