IID	HOM_CT	HET_CT
Canalbsequencing_2_FD_hapA	50556	97961
Canalbsequencing_4_FD_hapA	54187	88325
Canalbsequencing_5_FD_hapA	20558	41784
Canalbsequencing_6_FD_hapA	50919	100393
Canalbsequencing_7_FD_hapA	48433	98645
Canalbsequencing_8_FD_hapA	73674	83125
Canalbsequencing_9_FD_hapA	47971	98570
ERR10430871_hapA	27	1434
ERR10430872_hapA	496	47374
ERR10430873_hapA	829	75605
ERR10430874_hapA	29	2254
ERR10430875_hapA	866	75477
ERR263534_hapA	35569	71641
ERR263535_hapA	16695	26684
ERR263538_hapA	33184	44653
ERR2708444_hapA	42006	68801
ERR2708450_hapA	44180	101509
ERR2708456_hapA	55912	88441
ERR4669749_hapA	12715	67290
ERR4669750_hapA	58398	54656
ERR4669751_hapA	68516	54584
ERR4669752_hapA	59224	76683
ERR4669753_hapA	56502	81068
ERR4669754_hapA	29263	45636
ERR4669755_hapA	26429	45693
ERR4669758_hapA	44628	66640
ERR4669759_hapA	95365	35151
ERR4669760_hapA	13087	68658
ERR4669762_hapA	60228	62366
ERR4669764_hapA	4855	39686
ERR4669765_hapA	60662	65719
ERR4669766_hapA	50631	101934
ERR4669767_hapA	61708	73773
ERR4669768_hapA	62598	60645
ERR4669769_hapA	53427	90118
ERR4669770_hapA	52032	68963
ERR4669771_hapA	51020	54111
ERR4669772_hapA	92	557
ERR4669773_hapA	51526	96179
ERR4669774_hapA	37123	95873
ERR4669775_hapA	12594	51793
ERR4669776_hapA	11477	73140
ERR4669777_hapA	61045	57637
ERR4669781_hapA	41055	47353
ERR4669793_hapA	36412	77768
ERR4669794_hapA	4371	6065
ERR4669797_hapA	42977	68223
ERR4669798_hapA	45139	57250
HSC002_hapA	61302	64825
HSC007_hapA	53077	96314
HSC008_hapA	57463	77555
HSC012_hapA	55476	82554
HSC014_hapA	60303	76696
HSC015_hapA	61324	67275
HSC020_hapA	59148	75094
HSC028_hapA	52538	89930
HSC029_hapA	55602	83384
HSC030_hapA	10030	76602
HSC034_hapA	13691	70261
HSC038_hapA	51914	89136
HSC041_hapA	56863	68294
HSC042_hapA	13334	68048
HSC043_hapA	8300	79711
HSC044_hapA	18289	68837
HSC046_hapA	10775	74284
HSC047_hapA	13688	76339
HSC048_hapA	12283	76666
HSC050_hapA	10840	74195
HSC051_hapA	11427	76512
HSC054_hapA	53041	94491
HSC055_hapA	55701	79975
HSC057_hapA	55443	87760
HSC058_hapA	61062	68072
HSC059_hapA	16012	60665
HSC061_hapA	58103	69785
HSC062_hapA	36065	83867
HSC063_hapA	5995	87059
HSC074_hapA	51003	90276
HSC077_hapA	47109	90820
HSC078_hapA	9498	72025
HSC080_hapA	60049	69969
HSC081_hapA	24980	55147
HSC082_hapA	24958	55612
HSC083_hapA	58436	69970
HSC090_hapA	16461	62933
HSC094_hapA	57428	78168
HSC097_hapA	54950	88747
HSC098_hapA	55860	76788
HSC099_hapA	47993	92019
HSC100_hapA	51838	90666
HSC105_hapA	57110	78295
HSC111_hapA	58545	79465
HSC112_hapA	6313	86125
HSC113_hapA	12772	1493
HSC116_hapA	70340	57768
HSC120_hapA	54655	88738
HSC122_hapA	62997	72227
HSC123_hapA	22421	57702
HSC124_hapA	53110	75902
HSC125_hapA	9122	80362
HSC126_hapA	10976	75010
HSC127_hapA	11140	76566
HSC128_hapA	55661	86016
HSC129_hapA	10296	76828
HSC131_hapA	103299	36256
HSC134_hapA	13031	71226
HSC138_hapA	57954	90487
HSC139_hapA	72445	51488
HSC147_hapA	58018	82475
HSC149_hapA	52550	88556
HSC156_hapA	52422	88764
HSC157_hapA	78398	42112
HSC158_hapA	60677	88367
HSC160_hapA	74660	48289
HSC165_hapA	54320	87279
HSC167_hapA	11514	75616
HSC169_hapA	9746	81650
HSC173_hapA	12299	70561
HSC174_hapA	59777	90542
HSC180_hapA	59112	79658
HSC182_hapA	69276	61871
HSC185_hapA	50917	90967
HSC187_hapA	68962	61969
HSC190_hapA	51288	102466
HSC193_hapA	62827	75721
HSC194_hapA	60175	79375
HSC197_hapA	63252	72379
HSC199_hapA	15952	63562
HSC201_hapA	59016	88269
HSC204_hapA	16008	70762
HSC206_hapA	7431	84793
HSC207_hapA	58049	84153
HSC210_hapA	12251	75064
SRR10209617_hapA	45653	90760
SRR10209618_hapA	51783	76988
SRR10209619_hapA	13670	22390
SRR10209620_hapA	54414	73957
SRR10209621_hapA	50714	79612
SRR10209622_hapA	42567	74451
SRR10209623_hapA	51661	75784
SRR10209624_hapA	52190	78649
SRR11235409_hapA	133	321
SRR11235410_hapA	31205	31980
SRR11235411_hapA	37480	46345
SRR11235412_hapA	40198	49706
SRR11235413_hapA	5671	18266
SRR11235414_hapA	3822	12146
SRR11235415_hapA	10045	14763
SRR11235420_hapA	42159	55004
SRR11235432_hapA	38502	73750
SRR12969464_hapA	75	123
SRR12969465_hapA	18058	57647
SRR12969470_hapA	56575	79539
SRR12969471_hapA	77	255
SRR12969473_hapA	68048	67435
SRR12969475_hapA	253	316
SRR12969477_hapA	101	89
SRR12969478_hapA	15942	57334
SRR13587520_hapA	49932	87985
SRR13587521_hapA	11475	78964
SRR13587522_hapA	126	240
SRR13587523_hapA	12559	79480
SRR13587524_hapA	49411	100528
SRR13587525_hapA	47622	108321
SRR13587526_hapA	53226	91928
SRR13587527_hapA	64797	68583
SRR13587528_hapA	54853	101934
SRR13587529_hapA	63221	88041
SRR13587530_hapA	55716	92370
SRR13587531_hapA	53968	98196
SRR13587532_hapA	63192	76905
SRR13587533_hapA	52560	81014
SRR13587534_hapA	48946	95386
SRR13587535_hapA	52787	94197
SRR13587536_hapA	49123	97128
SRR13587537_hapA	50905	101995
SRR13587538_hapA	51247	100589
SRR13587539_hapA	50214	104031
SRR13587540_hapA	49494	88497
SRR13587541_hapA	49899	108348
SRR13587542_hapA	14251	71853
SRR13587543_hapA	55898	95517
SRR13587544_hapA	56689	86215
SRR13587545_hapA	350	2750
SRR13587546_hapA	53393	82445
SRR13587547_hapA	50208	97842
SRR13587548_hapA	47582	108071
SRR13587549_hapA	58062	91277
SRR13587550_hapA	40661	61450
SRR13587551_hapA	8510	83657
SRR13587552_hapA	49478	105818
SRR13587553_hapA	54306	83239
SRR13587554_hapA	559	3387
SRR13587555_hapA	8840	82873
SRR13587556_hapA	41918	92985
SRR13587557_hapA	49733	101420
SRR13587558_hapA	65011	69020
SRR13587559_hapA	67272	70019
SRR13587560_hapA	60027	70280
SRR13587561_hapA	53591	83432
SRR13587562_hapA	54495	80105
SRR13587563_hapA	52694	92333
SRR13587564_hapA	8975	83058
SRR13587565_hapA	54030	86960
SRR13587566_hapA	58534	85384
SRR13587567_hapA	52165	107887
SRR13587568_hapA	49230	98305
SRR13587569_hapA	49960	102717
SRR13587570_hapA	46980	103317
SRR13587572_hapA	49222	88540
SRR13587573_hapA	79279	74959
SRR13587574_hapA	54297	85850
SRR13587575_hapA	83	34
SRR13587576_hapA	54846	87017
SRR13587577_hapA	58575	71992
SRR13587578_hapA	60619	77901
SRR13587579_hapA	76039	58738
SRR13587580_hapA	60273	82841
SRR13587581_hapA	60838	91590
SRR13587582_hapA	59395	77805
SRR13587583_hapA	51648	104337
SRR13587584_hapA	65847	79816
SRR13587585_hapA	53026	88461
SRR13587586_hapA	70467	72639
SRR13587587_hapA	13139	75849
SRR13587588_hapA	52978	90530
SRR13587589_hapA	53039	89194
SRR13587590_hapA	56148	85366
SRR13587592_hapA	56312	93722
SRR13587593_hapA	43180	102747
SRR13587594_hapA	54767	94348
SRR13587595_hapA	61419	68617
SRR13587596_hapA	41146	102151
SRR13587597_hapA	50836	94574
SRR13587598_hapA	50930	111211
SRR13587599_hapA	356	2382
SRR13587600_hapA	43576	92896
SRR13587601_hapA	65607	64352
SRR13587602_hapA	50250	95516
SRR13587603_hapA	8592	83126
SRR13587604_hapA	56477	83654
SRR13587605_hapA	59491	76965
SRR13587606_hapA	56700	75568
SRR13587607_hapA	54837	77375
SRR13587608_hapA	56776	78131
SRR13587609_hapA	10637	77921
SRR13587610_hapA	58974	76958
SRR13587611_hapA	50049	94859
SRR13587612_hapA	52495	91303
SRR13587613_hapA	50785	102246
SRR13587614_hapA	50806	111372
SRR13587615_hapA	8153	82188
SRR13587616_hapA	53285	97025
SRR13587617_hapA	111	333
SRR13587618_hapA	8508	83298
SRR13587619_hapA	50715	90182
SRR13587620_hapA	47688	101646
SRR13587621_hapA	8099	84044
SRR13587622_hapA	58418	87306
