Isolate_Name	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8
HAME38	0	1	0	0	0	0	0	0
QD60	0	1	0	0	0	0	0	0
Bougn15	0	1	0	0	0	0	0	0
Z2016	0	1	1	0	0	1	0	1
GX22	0	0	0	1	0	0	0	0
GX16	0	0	0	1	0	0	0	0
2501	0	0	0	1	0	0	0	0
5106	0	0	0	1	0	0	0	0
12C	0	0	0	1	0	0	0	0
P78042	0	0	0	1	0	0	0	0
1649	0	0	0	1	1	0	0	0
HSC083	0	0	0	1	0	0	1	0
IDB104	0	0	0	1	0	0	0	1
1619	0	0	0	0	1	0	0	0
2823	0	0	0	0	1	0	0	0
3034	0	0	0	0	1	0	0	0
3107	0	0	0	0	1	0	0	0
P75010	0	0	0	0	1	0	0	0
M7	0	0	0	0	1	0	0	0
M6	0	0	0	0	1	0	0	0
GZ243	0	0	0	0	1	0	1	0
P60002	0	0	0	0	1	0	1	0
CEC4495	0	0	0	0	1	0	0	1
831-2	0	0	0	0	0	1	0	0
Bougn9	0	0	0	0	0	1	0	0
G1101	0	0	0	0	0	1	1	0
2018-F2-279	0	0	0	0	0	0	1	0
HSC046	0	0	0	0	0	0	1	0
HSC050	0	0	0	0	0	0	1	0
HSC182	0	0	0	0	0	0	1	0
Y208	0	0	0	0	0	0	1	0
FJ178	0	0	0	0	0	0	1	0
Z419	0	0	0	0	0	0	1	0
GH257	0	0	0	0	0	0	1	0
W322	0	0	0	0	0	0	1	0
19F	0	0	0	0	0	0	1	0
L26	0	0	0	0	0	0	1	0
CEC4484	0	0	0	0	0	0	1	0
MAN	0	0	0	0	0	0	1	0
HSC139	0	0	0	0	0	0	1	0
Y265	0	0	0	0	0	0	0	1
